userId	geneSymbol	geneName	entrezgene	score	gLink
A2M	A2M	alpha-2-macroglobulin	2	-4.042413	https://www.ncbi.nlm.nih.gov/gene/?term=2
A2M-AS1	A2M-AS1	A2M antisense RNA 1	144571	-0.13133398	https://www.ncbi.nlm.nih.gov/gene/?term=144571
A2ML1	A2ML1	alpha-2-macroglobulin like 1	144568	0.2971741	https://www.ncbi.nlm.nih.gov/gene/?term=144568
AACS	AACS	acetoacetyl-CoA synthetase	65985	-4.040577	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAT	AADAT	aminoadipate aminotransferase	51166	-0.16132756	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AAR2	AAR2	AAR2 splicing factor homolog	25980	-4.268141	https://www.ncbi.nlm.nih.gov/gene/?term=25980
AARS2	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	-2.1769755	https://www.ncbi.nlm.nih.gov/gene/?term=57505
AASDH	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	-0.43851542	https://www.ncbi.nlm.nih.gov/gene/?term=132949
AASS	AASS	aminoadipate-semialdehyde synthase	10157	-0.8910952	https://www.ncbi.nlm.nih.gov/gene/?term=10157
ABAT	ABAT	4-aminobutyrate aminotransferase	18	-1.0335754	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	2.819353	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA10	ABCA10	ATP binding cassette subfamily A member 10	10349	-0.21275935	https://www.ncbi.nlm.nih.gov/gene/?term=10349
ABCA13	ABCA13	ATP binding cassette subfamily A member 13	154664	-2.563162	https://www.ncbi.nlm.nih.gov/gene/?term=154664
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	-0.98718286	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA6	ABCA6	ATP binding cassette subfamily A member 6	23460	-0.48673007	https://www.ncbi.nlm.nih.gov/gene/?term=23460
ABCA7	ABCA7	ATP binding cassette subfamily A member 7	10347	-1.5573739	https://www.ncbi.nlm.nih.gov/gene/?term=10347
ABCA8	ABCA8	ATP binding cassette subfamily A member 8	10351	0.8425247	https://www.ncbi.nlm.nih.gov/gene/?term=10351
ABCB1	ABCB1	ATP binding cassette subfamily B member 1	5243	-0.8798637	https://www.ncbi.nlm.nih.gov/gene/?term=5243
ABCB6	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	-2.9391139	https://www.ncbi.nlm.nih.gov/gene/?term=10058
ABCB8	ABCB8	ATP binding cassette subfamily B member 8	11194	-2.119707	https://www.ncbi.nlm.nih.gov/gene/?term=11194
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	-0.2610309	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABCC1	ABCC1	ATP binding cassette subfamily C member 1	4363	-2.7686188	https://www.ncbi.nlm.nih.gov/gene/?term=4363
ABCC10	ABCC10	ATP binding cassette subfamily C member 10	89845	-1.0719392	https://www.ncbi.nlm.nih.gov/gene/?term=89845
ABCC3	ABCC3	ATP binding cassette subfamily C member 3	8714	-1.9784086	https://www.ncbi.nlm.nih.gov/gene/?term=8714
ABCC4	ABCC4	ATP binding cassette subfamily C member 4	10257	2.9905741	https://www.ncbi.nlm.nih.gov/gene/?term=10257
ABCC5	ABCC5	ATP binding cassette subfamily C member 5	10057	-3.8005714	https://www.ncbi.nlm.nih.gov/gene/?term=10057
ABCC6	ABCC6	ATP binding cassette subfamily C member 6	368	-1.0948722	https://www.ncbi.nlm.nih.gov/gene/?term=368
ABCD2	ABCD2	ATP binding cassette subfamily D member 2	225	-1.3861245	https://www.ncbi.nlm.nih.gov/gene/?term=225
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	-2.782982	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	0.047175463	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ABHD13	ABHD13	abhydrolase domain containing 13	84945	-4.9618506	https://www.ncbi.nlm.nih.gov/gene/?term=84945
ABHD15	ABHD15	abhydrolase domain containing 15	116236	-0.6804854	https://www.ncbi.nlm.nih.gov/gene/?term=116236
ABHD3	ABHD3	abhydrolase domain containing 3	171586	-6.2860665	https://www.ncbi.nlm.nih.gov/gene/?term=171586
ABHD4	ABHD4	abhydrolase domain containing 4	63874	-3.7315876	https://www.ncbi.nlm.nih.gov/gene/?term=63874
ABHD6	ABHD6	abhydrolase domain containing 6	57406	-2.4843135	https://www.ncbi.nlm.nih.gov/gene/?term=57406
ABI3	ABI3	ABI family member 3	51225	-0.74919873	https://www.ncbi.nlm.nih.gov/gene/?term=51225
ABI3BP	ABI3BP	ABI family member 3 binding protein	25890	4.4228063	https://www.ncbi.nlm.nih.gov/gene/?term=25890
ABL1	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	-3.4297445	https://www.ncbi.nlm.nih.gov/gene/?term=25
ABL2	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	-1.9051826	https://www.ncbi.nlm.nih.gov/gene/?term=27
ABLIM3	ABLIM3	actin binding LIM protein family member 3	22885	-0.74880016	https://www.ncbi.nlm.nih.gov/gene/?term=22885
ABR	ABR	ABR, RhoGEF and GTPase activating protein	29	-4.039239	https://www.ncbi.nlm.nih.gov/gene/?term=29
ABTB1	ABTB1	ankyrin repeat and BTB domain containing 1	80325	1.6016597	https://www.ncbi.nlm.nih.gov/gene/?term=80325
ACAA1	ACAA1	acetyl-CoA acyltransferase 1	30	-9.108522	https://www.ncbi.nlm.nih.gov/gene/?term=30
ACACA	ACACA	acetyl-CoA carboxylase alpha	31	-4.190203	https://www.ncbi.nlm.nih.gov/gene/?term=31
ACAD10	ACAD10	acyl-CoA dehydrogenase family member 10	80724	-0.71116227	https://www.ncbi.nlm.nih.gov/gene/?term=80724
ACAD8	ACAD8	acyl-CoA dehydrogenase family member 8	27034	-1.3894413	https://www.ncbi.nlm.nih.gov/gene/?term=27034
ACADL	ACADL	acyl-CoA dehydrogenase long chain	33	-0.472865	https://www.ncbi.nlm.nih.gov/gene/?term=33
ACAP1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	-2.0560758	https://www.ncbi.nlm.nih.gov/gene/?term=9744
ACBD4	ACBD4	acyl-CoA binding domain containing 4	79777	-0.10106994	https://www.ncbi.nlm.nih.gov/gene/?term=79777
ACCS	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	-1.754802	https://www.ncbi.nlm.nih.gov/gene/?term=84680
ACE	ACE	angiotensin I converting enzyme	1636	4.294476	https://www.ncbi.nlm.nih.gov/gene/?term=1636
ACER3	ACER3	alkaline ceramidase 3	55331	-4.9822216	https://www.ncbi.nlm.nih.gov/gene/?term=55331
ACOT11	ACOT11	acyl-CoA thioesterase 11	26027	-0.5270442	https://www.ncbi.nlm.nih.gov/gene/?term=26027
ACOT4	ACOT4	acyl-CoA thioesterase 4	122970	-0.6698802	https://www.ncbi.nlm.nih.gov/gene/?term=122970
ACOT7	ACOT7	acyl-CoA thioesterase 7	11332	-3.0839286	https://www.ncbi.nlm.nih.gov/gene/?term=11332
ACOX2	ACOX2	acyl-CoA oxidase 2	8309	-1.8344907	https://www.ncbi.nlm.nih.gov/gene/?term=8309
ACOX3	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	-2.2190404	https://www.ncbi.nlm.nih.gov/gene/?term=8310
ACOXL	ACOXL	acyl-CoA oxidase like	55289	-0.6047826	https://www.ncbi.nlm.nih.gov/gene/?term=55289
ACP2	ACP2	acid phosphatase 2, lysosomal	53	-2.3720973	https://www.ncbi.nlm.nih.gov/gene/?term=53
ACP5	ACP5	acid phosphatase 5, tartrate resistant	54	-0.30318135	https://www.ncbi.nlm.nih.gov/gene/?term=54
ACP6	ACP6	acid phosphatase 6, lysophosphatidic	51205	2.837204	https://www.ncbi.nlm.nih.gov/gene/?term=51205
ACPP	ACPP	acid phosphatase, prostate	55	1.0003788	https://www.ncbi.nlm.nih.gov/gene/?term=55
ACRBP	ACRBP	acrosin binding protein	84519	-0.049097214	https://www.ncbi.nlm.nih.gov/gene/?term=84519
ACSBG1	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	-0.7271769	https://www.ncbi.nlm.nih.gov/gene/?term=23205
ACSF2	ACSF2	acyl-CoA synthetase family member 2	80221	-5.0538387	https://www.ncbi.nlm.nih.gov/gene/?term=80221
ACSF3	ACSF3	acyl-CoA synthetase family member 3	197322	-3.58357	https://www.ncbi.nlm.nih.gov/gene/?term=197322
ACSL1	ACSL1	acyl-CoA synthetase long chain family member 1	2180	-5.2165756	https://www.ncbi.nlm.nih.gov/gene/?term=2180
ACSL5	ACSL5	acyl-CoA synthetase long chain family member 5	51703	4.6700006	https://www.ncbi.nlm.nih.gov/gene/?term=51703
ACSS1	ACSS1	acyl-CoA synthetase short chain family member 1	84532	-2.6382387	https://www.ncbi.nlm.nih.gov/gene/?term=84532
ACSS2	ACSS2	acyl-CoA synthetase short chain family member 2	55902	-0.8274212	https://www.ncbi.nlm.nih.gov/gene/?term=55902
ACSS3	ACSS3	acyl-CoA synthetase short chain family member 3	79611	-3.1247694	https://www.ncbi.nlm.nih.gov/gene/?term=79611
ACTA2	ACTA2	actin alpha 2, smooth muscle	59	-8.594959	https://www.ncbi.nlm.nih.gov/gene/?term=59
ACTBL2	ACTBL2	actin beta like 2	345651	-2.6569438	https://www.ncbi.nlm.nih.gov/gene/?term=345651
ACTC1	ACTC1	actin alpha cardiac muscle 1	70	-4.4396753	https://www.ncbi.nlm.nih.gov/gene/?term=70
ACTG1P4	ACTG1P4	actin gamma 1 pseudogene 4	648740	-8.287494	https://www.ncbi.nlm.nih.gov/gene/?term=648740
ACTG2	ACTG2	actin gamma 2, smooth muscle	72	-6.0930514	https://www.ncbi.nlm.nih.gov/gene/?term=72
ACTL10	ACTL10	actin like 10	170487	0.067318276	https://www.ncbi.nlm.nih.gov/gene/?term=170487
ACTR5	ACTR5	actin related protein 5	79913	-0.7706085	https://www.ncbi.nlm.nih.gov/gene/?term=79913
