geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa05330	Allograft rejection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05330+3123+3117+3115+3113+3119+3127+3111+3109+7124+3112	0.9485254792868782	1.9176738889029799	0	0	17	./Project_1733748628_GSEA/hsa05330.png	10	3123;3117;3115;3113;3119;3127;3111;3109;7124;3112	HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;TNF
hsa05320	Autoimmune thyroid disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05320+3123+3117+3115+3113+3119+3127+3111+3109+3112	0.9501122756040102	1.9011898201457134	0	0	15	./Project_1733748628_GSEA/hsa05320.png	9	3123;3117;3115;3113;3119;3127;3111;3109;3112	HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5
hsa04940	Type I diabetes mellitus	http://www.kegg.jp/kegg-bin/show_pathway?hsa04940+3123+3117+3115+3113+3119+3127+3111+3109+7124+3553+3112	0.9276623933243298	1.892023505284459	0	0	18	./Project_1733748628_GSEA/hsa04940.png	11	3123;3117;3115;3113;3119;3127;3111;3109;7124;3553;3112	HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;IL1B;TNF
hsa05310	Asthma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05310+3123+3117+3115+3113+3119+3127+3111+3109+7124+3112	0.9513314892758731	1.8833914948105752	0	0	15	./Project_1733748628_GSEA/hsa05310.png	10	3123;3117;3115;3113;3119;3127;3111;3109;7124;3112	HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;TNF
hsa04672	Intestinal immune network for IgA production	http://www.kegg.jp/kegg-bin/show_pathway?hsa04672+3123+3117+3115+3113+3119+3127+3111+3109+5284+3112	0.9096134757699712	1.8819918135919784	0	0	21	./Project_1733748628_GSEA/hsa04672.png	10	3123;3117;3115;3113;3119;3127;3111;3109;5284;3112	HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;PIGR
hsa04612	Antigen processing and presentation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04612+3123+3117+3115+3113+3119+3127+3303+3111+3304+3109+7124+10437+6891+3112+1520+4261+3308	0.894642240580795	1.8797118347700679	0	0	24	./Project_1733748628_GSEA/hsa04612.png	17	3123;3117;3115;3113;3119;3127;3303;3111;3304;3109;7124;10437;6891;3112;1520;4261;3308	CIITA;CTSS;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;HSPA1A;HSPA1B;HSPA4;IFI30;TAP2;TNF
hsa05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05150+3123+3117+3115+3113+3119+718+715+716+629+3127+3383+3111+3109+3112+2266+6403+3075	0.8639542285971828	1.8777867498706367	0	0	37	./Project_1733748628_GSEA/hsa05150.png	17	3123;3117;3115;3113;3119;718;715;716;629;3127;3383;3111;3109;3112;2266;6403;3075	C1R;C1S;C3;CFB;CFH;FGG;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;ICAM1;SELP
hsa05332	Graft-versus-host disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05332+3123+3117+3115+3113+3119+3127+3111+3109+7124+3553+3112	0.9156111131478425	1.8629528654251353	0	0	18	./Project_1733748628_GSEA/hsa05332.png	11	3123;3117;3115;3113;3119;3127;3111;3109;7124;3553;3112	HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;IL1B;TNF
hsa04640	Hematopoietic cell lineage	http://www.kegg.jp/kegg-bin/show_pathway?hsa04640+3123+3117+3115+3113+3119+3127+3111+960+3109+7124+3553+3570+1435+3554+3112	0.8190931991700693	1.8031625470214632	0	0	47	./Project_1733748628_GSEA/hsa04640.png	15	3123;3117;3115;3113;3119;3127;3111;960;3109;7124;3553;3570;1435;3554;3112	CD44;CSF1;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;IL1B;IL1R1;IL6R;TNF
hsa05322	Systemic lupus erythematosus	http://www.kegg.jp/kegg-bin/show_pathway?hsa05322+3123+3117+3115+3113+3119+718+715+716+3127+3111+3109+7124+3112	0.8340374549629017	1.7978279455652415	0	0	35	./Project_1733748628_GSEA/hsa05322.png	13	3123;3117;3115;3113;3119;718;715;716;3127;3111;3109;7124;3112	C1R;C1S;C3;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;TNF
hsa04740	Olfactory transduction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04740+5997+818+390072+390445+57101+5592+284521+109+5138+5593+5567+5136+816+1262	-0.24693167246748823	-0.8084624553647434	0.8043478086011346	0.7705024612241107	14	./Project_1733748628_GSEA/hsa04740.png	14	5997;818;390072;390445;57101;5592;284521;109;5138;5593;5567;5136;816;1262	ADCY3;ANO2;CAMK2B;CAMK2G;CNGA4;OR2L13;OR52N4;OR5AU1;PDE1A;PDE2A;PRKACB;PRKG1;PRKG2;RGS2
hsa03020	RNA polymerase	http://www.kegg.jp/kegg-bin/show_pathway?hsa03020+5438	-0.3252313863672431	-0.8181000642035283	0.7460317401108593	1	7	./Project_1733748628_GSEA/hsa03020.png	1	5438	POLR2I
